id,nadir,catid,x,y,tile_id,fold
Atlanta_nadir10_catid_1030010003993E00_732701_3720639,10,1030010003993E00,732701,3720639,732701_3720639,5
Atlanta_nadir10_catid_1030010003993E00_732701_3721539,10,1030010003993E00,732701,3721539,732701_3721539,6
Atlanta_nadir10_catid_1030010003993E00_732701_3722439,10,1030010003993E00,732701,3722439,732701_3722439,13
Atlanta_nadir10_catid_1030010003993E00_732701_3725139,10,1030010003993E00,732701,3725139,732701_3725139,0
Atlanta_nadir10_catid_1030010003993E00_732701_3725589,10,1030010003993E00,732701,3725589,732701_3725589,3
Atlanta_nadir10_catid_1030010003993E00_732701_3726039,10,1030010003993E00,732701,3726039,732701_3726039,0
Atlanta_nadir10_catid_1030010003993E00_732701_3729639,10,1030010003993E00,732701,3729639,732701_3729639,12
Atlanta_nadir10_catid_1030010003993E00_732701_3730089,10,1030010003993E00,732701,3730089,732701_3730089,9
Atlanta_nadir10_catid_1030010003993E00_732701_3730539,10,1030010003993E00,732701,3730539,732701_3730539,10
Atlanta_nadir10_catid_1030010003993E00_732701_3730989,10,1030010003993E00,732701,3730989,732701_3730989,14
Atlanta_nadir10_catid_1030010003993E00_732701_3731439,10,1030010003993E00,732701,3731439,732701_3731439,2
Atlanta_nadir10_catid_1030010003993E00_732701_3731889,10,1030010003993E00,732701,3731889,732701_3731889,1
Atlanta_nadir10_catid_1030010003993E00_732701_3734589,10,1030010003993E00,732701,3734589,732701_3734589,15
Atlanta_nadir10_catid_1030010003993E00_732701_3735939,10,1030010003993E00,732701,3735939,732701_3735939,4
Atlanta_nadir10_catid_1030010003993E00_732701_3736389,10,1030010003993E00,732701,3736389,732701_3736389,2
Atlanta_nadir10_catid_1030010003993E00_732701_3739539,10,1030010003993E00,732701,3739539,732701_3739539,1
Atlanta_nadir10_catid_1030010003993E00_732701_3740889,10,1030010003993E00,732701,3740889,732701_3740889,11
Atlanta_nadir10_catid_1030010003993E00_732701_3743139,10,1030010003993E00,732701,3743139,732701_3743139,8
Atlanta_nadir10_catid_1030010003993E00_732701_3743589,10,1030010003993E00,732701,3743589,732701_3743589,7
Atlanta_nadir10_catid_1030010003993E00_733151_3720639,10,1030010003993E00,733151,3720639,733151_3720639,4
Atlanta_nadir10_catid_1030010003993E00_733151_3721539,10,1030010003993E00,733151,3721539,733151_3721539,5
Atlanta_nadir10_catid_1030010003993E00_733151_3723339,10,1030010003993E00,733151,3723339,733151_3723339,10
Atlanta_nadir10_catid_1030010003993E00_733151_3723789,10,1030010003993E00,733151,3723789,733151_3723789,0
Atlanta_nadir10_catid_1030010003993E00_733151_3725139,10,1030010003993E00,733151,3725139,733151_3725139,3
Atlanta_nadir10_catid_1030010003993E00_733151_3726489,10,1030010003993E00,733151,3726489,733151_3726489,0
